Awnd,CRIME,Date1,Fmtm,Number of Records,OCC DATE,Person,Pgtm,Prcp,Property,Population,Snow,Snwd,Society,Tavg,Tmax,Tmin,Wdf2,Wdf5,Wesd,Wsf2,Wsf5,Wt01,Wt02,Wt03,Wt04,Wt05,Wt07,Wt08,Wt09,Wt11,Wt13,Wt14,Wt16,Wt17,Wt18,Wt19,Wt21,Wt22,Year1,Call Total,Date,Day,Dispatch,Month,Onview,Quarter,Weekday,Year
8.72,89,6/2/2009,2342,1,06/02/2009,11,2330,0,71,602531,0,0,7,,88,61,30,40,0,15,17.9,,,,,,,,,,,,,,,,,,2009,918,06/02/2009,2,474,6,444,2,3,2009
8.95,87,6/3/2009,1341,1,06/03/2009,10,1251,0,72,602531,0,0,5,,89,64,10,350,0,16.1,21,,,,,,,,,,,,,,,,,,2009,1056,06/03/2009,3,557,6,499,2,4,2009
8.72,101,6/4/2009,1948,1,06/04/2009,11,1948,0,87,602531,0,0,3,,91,60,220,230,0,28,36,,,,,,1,1,,,,,1,,,,,,2009,1014,06/04/2009,4,600,6,414,2,5,2009
10.96,116,6/5/2009,1404,1,06/05/2009,15,2322,0,93,602531,0,0,8,,68,56,210,200,0,17.9,23,,,,,,,1,,,,,,,,,,,2009,1060,06/05/2009,5,624,6,436,2,6,2009
7.38,105,6/6/2009,106,1,06/06/2009,10,316,0,88,602531,0,0,7,,63,55,200,220,0,14.1,17,1,,,,,,,,,,1,1,,,,,,2009,970,06/06/2009,6,630,6,340,2,7,2009
6.49,74,6/7/2009,1600,1,06/07/2009,7,1512,0,63,602531,0,0,4,,67,53,190,200,0,12.1,15,,,,,,,,,,,,,,,,,,2009,935,06/07/2009,7,479,6,456,2,1,2009
7.61,105,6/8/2009,2352,1,06/08/2009,9,2352,0,90,602531,0,0,6,,73,52,30,40,0,17,19.9,,,,,,,,,,,,,,,,,,2009,943,06/08/2009,8,519,6,424,2,2,2009
8.28,92,6/9/2009,110,1,06/09/2009,7,1345,0,78,602531,0,0,7,,79,56,30,360,0,16.1,21.9,,,,,,,1,,,,,,,,,,,2009,994,06/09/2009,9,550,6,444,2,3,2009
5.59,95,6/10/2009,2100,1,06/10/2009,13,1348,0,79,602531,0,0,3,,75,54,50,210,0,15,19.9,,,,,,,1,,,,,,,,,,,2009,1035,06/10/2009,10,514,6,521,2,4,2009
4.47,110,6/11/2009,1621,1,06/11/2009,11,1540,0,97,602531,0,0,2,,73,55,280,290,0,10.1,16.1,,,,,,,,,,,,,,,,,,2009,984,06/11/2009,11,534,6,450,2,5,2009
5.82,103,6/12/2009,2200,1,06/12/2009,16,2159,0,85,602531,0,0,2,,76,56,20,30,0,13,16.1,,,,,,,,,,,,,,,,,,2009,1083,06/12/2009,12,619,6,464,2,6,2009
5.82,114,6/13/2009,2307,1,06/13/2009,14,2303,0,91,602531,0,0,9,,75,53,200,210,0,12.1,16.1,,,,,,,,,,,,,,,,,,2009,1093,06/13/2009,13,621,6,472,2,7,2009
5.14,105,6/14/2009,1500,1,06/14/2009,5,1156,0,94,602531,0,0,6,,63,54,220,240,0,12.1,16.1,,,,,,,,,,,,,,,,,,2009,940,06/14/2009,14,545,6,395,2,1,2009
5.59,117,6/15/2009,1223,1,06/15/2009,11,1420,0,101,602531,0,0,5,,73,54,280,300,0,12.1,15,,,,,,,,,,,,,,,,,,2009,997,06/15/2009,15,547,6,450,2,2,2009
4.47,120,6/16/2009,1554,1,06/16/2009,11,1638,0,98,602531,0,0,11,,71,55,190,200,0,13,15,,,,,,,,,,,,,,,,,,2009,992,06/16/2009,16,528,6,464,2,3,2009
5.82,102,6/17/2009,910,1,06/17/2009,9,935,0,87,602531,0,0,6,,68,57,220,220,0,14.1,17,,,,,,,,,,,,,,,,,,2009,952,06/17/2009,17,503,6,449,2,4,2009
7.61,116,6/18/2009,1343,1,06/18/2009,11,2114,0.01,99,602531,0,0,6,,72,56,250,230,0,14.1,16.1,,,,,1,,,,,,,1,,,,,,2009,1028,06/18/2009,18,534,6,494,2,5,2009
4.92,123,6/19/2009,2142,1,06/19/2009,15,2130,0.09,104,602531,0,0,4,,69,54,220,230,0,14.1,17.9,1,,,,1,,,,,1,,1,,,,,,2009,1120,06/19/2009,19,604,6,516,2,6,2009
7.16,108,6/20/2009,2252,1,06/20/2009,12,801,0,90,602531,0,0,6,,65,52,60,110,0,14.1,17.9,,,,,,,,,,,,1,,,,,,2009,1007,06/20/2009,20,572,6,435,2,7,2009
